,Key_a,title_a,brand_a,price_a,Key_b,title_b,brand_b,price_b,label
13,"[1130577, 4140943, 6675972, 1129480, 5187395, 5245289, 886739, 30749736, 3944952]",vans classic slip on black mens shoes,,,"[1130577, 4140943, 6675972, 1129480, 5187395, 5245289, 886739, 30749736, 3944952]",vans classic slip on skate shoes 10 black skateboarding page 8 tar wheels way,vans,,1
14,"[17490827, 327247, 4019550, 2990368, 7995468, 19939, 7801413, 56628891, 7801402]",asics tiger gel lyte white womens shoes hn7f6 0101,,,"[17490827, 327247, 4019550, 2990368, 7995468, 19939, 7801413, 56628891, 7801402]",gel lyte women s sneakers asics tiger,,,1
15,"[15111541, 7180534, 4297094, 3815697, 570180, 2291188, 2206176, 717600, 2184164]",nike junior hypervenom phantom ii fg volt nero hyper turchese scarpe terreni compatti,,,"[15111541, 7180534, 4297094, 3815697, 570180, 2291188, 2206176, 717600, 2184164]",nike kids hypervenom phantom ii fg volt black hyper turquoise junior boots firm ground,,,1
16,"[7365437, 21027936, 529207, 2466806, 983326, 321028, 10364367, 6293912, 10364354]",nike mercurial veloce iii ronaldo fg alga volt hasta blanco botas de futbol,,,"[7365437, 21027936, 529207, 2466806, 983326, 321028, 10364367, 6293912, 10364354]",nike mercurial veloce iii ronaldo fg verde volt hasta bianco scarpe uomo terreni compatti,,,1
17,"[407275, 6795141, 6794674, 407448, 669014, 4697733, 3321424, 56599233, 2332808]",air max 90 leather,,139 00 eur,"[407275, 6795141, 6794674, 407448, 669014, 4697733, 3321424, 56599233, 2332808]",nike sportswear air max 90 lederschuhe schwarz freizeitschuhe herrenschuhe 302519 001,,,1
18,"[5442918, 3225241, 3225240, 483915, 165023, 60517466, 14207952, 727219, 16661555]",free 5 0 nike noir et blanc partir de 75 00 mod le femme,nike,,"[5442918, 3225241, 3225240, 483915, 165023, 60517466, 14207952, 727219, 16661555]",nike free 5 0 pour femme noir blanc gris chaussures,,,1
19,"[696278, 679172, 61993053, 52303152, 52302954, 52303263, 66741134, 52303067, 52303143]",nike wmns air force 1 07 bia y 399 99 pln lifestyle 315115112 up8 com,nike,,"[696278, 679172, 61993053, 52303152, 52302954, 52303263, 66741134, 52303067, 52303143]",ze 912 tiresavings com the best value in tires on web,,,1
20,"[1416101, 8563186, 42802162, 7733954, 100050, 270737, 1004299, 27681327, 483915]",gi y b ng nike mercurialx finale ii ic 831974 589 t i th,,2 050 000,"[1416101, 8563186, 42802162, 7733954, 100050, 270737, 1004299, 27681327, 483915]",nike mercurialx finale ii in violet dynastie citrus chaussures de football pour homme indoor i pro direct soccer,,,1
21,"[1130577, 30749736, 5187395, 1129480, 4140943, 6675972, 16590705, 3944952, 4050405]",nike air zoom pegasus 33 women s training shoes white pink green clearance footwear,baseball monkey,93 98 usd,"[1130577, 30749736, 5187395, 1129480, 4140943, 6675972, 16590705, 3944952, 4050405]",nike air zoom pegasus 33 women s training shoes white pink green running and,baseball monkey,93 98 usd,1
22,"[1990165, 90007, 483915, 165023, 60517466, 5262520, 7034804, 3341498, 1990127]",nike tiempo legend vi sg pro black white metallic gold mens boots soft ground,,,"[1990165, 90007, 483915, 165023, 60517466, 5262520, 7034804, 3341498, 1990127]",nike tiempo legend vi sg pro nero bianco oro metallico scarpe uomo terreni morbidi,,,1
23,"[22132443, 32859429, 796293, 3341498, 483915, 165023, 60517466, 7034804, 5262520]",nike sportswear air force 1 07 bianco pelle scarpe uomo 315122 111,,,"[22132443, 32859429, 796293, 3341498, 483915, 165023, 60517466, 7034804, 5262520]",nike sportswear air force 1 07 blanco zapatillas de deporte deportivas,,,1
24,"[1130577, 15121977, 4140943, 3944952, 1129480, 6675972, 3225873, 625780, 2778500]",air jordans 14 retro low laney shoes for sale 2017 jordan,,,"[1130577, 15121977, 4140943, 3944952, 1129480, 6675972, 3225873, 625780, 2778500]",new air jordan 14 retro low laney shoes,,,1
25,"[327247, 52303067, 52303131, 52302954, 52303013, 52303081, 52303168, 52303000, 52302985]",asics gel lyte iii negro zapatillas para hombre deportivas,,,"[327247, 52303067, 52303131, 52302954, 52303013, 52303081, 52303168, 52303000, 52302985]",gel lyte iii asics h534l 9090 everysize com,asics,,1
26,"[468697, 4003728, 3926679, 3358558, 3762387, 4080475, 3453198, 1508815, 5508679]",nike free run negro blanco antracita zapatillas de correr,,,"[468697, 4003728, 3926679, 3358558, 3762387, 4080475, 3453198, 1508815, 5508679]",nike free run nero bianco antracide scarpe uomo,,,1
27,"[967015, 9324638, 167778, 2463075, 1869935]",buty concave halo2 0 fg czarny m skie pi karskie trawa naturalna,,,"[3549732, 3594822, 3505469, 2000400, 1952952, 728707, 3766184, 3225241, 3225240]",concave halo2 0 fg noir chaussures pour homme terrain sec,,,1
28,"[68287013, 2154207, 56209156, 1528511, 65471470, 37155, 64043156, 64041768, 693519]",nike air max 90 essential black white 537384 077 purchaze,nike,,"[68287013, 2154207, 56209156, 1528511, 65471470, 37155, 64043156, 64041768, 693519]",nike air max 90 essential zwart heren hardloopschoenen sportschoenen schoenen trainers,,,1
29,"[6794674, 6795141, 56599233, 18028904, 16422172, 1475581, 18152555, 12326461, 669014]",air max 90 essential nike 616730 113 everysize com,nike,,"[6794674, 6795141, 56599233, 18028904, 16422172, 1475581, 18152555, 12326461, 669014]",nike air max 90 essential 616730 113 sneakers for women upclassics,nike,,1
30,"[7597087, 7597081, 55393365, 1356530, 5179154, 139380, 1138096, 576456, 285057]",maple veneer stair tread cover 42,uberhaus select,,"[3549732, 3594822, 2905902, 2000400, 1952952, 3505469, 10707933, 728707, 3225241]",puma evopower 1 3 cuir fg rouge blanc noir chaussures pour homme terrain sec,,,1
31,"[275326, 23444, 16202837, 16201043, 579455, 7388539, 2005691, 1790253, 7994726]",puma r698 core leather white steel grey mens shoes 360601 01,,,"[275326, 23444, 16202837, 16201043, 579455, 7388539, 2005691, 1790253, 7994726]",sneakers buty puma r698 core leather white steel gray 360601 01 bludshop com,,,1
32,"[8779256, 870, 2200792, 531856, 3325441, 2400266, 5801324, 956740, 1137213]",nike train speed 4 negro blanco zapatillas de deporte,,,"[8779256, 870, 2200792, 531856, 3325441, 2400266, 5801324, 956740, 1137213]",nike train speed 4 nero bianco scarpe uomo training regolare,,,1
33,"[327247, 532200, 27230377, 11321408, 56736359, 3483118, 3144100, 11321409, 16457556]",asics hyper md 6 running spikes ss15 0743 ah,asics,,"[327247, 532200, 27230377, 11321408, 56736359, 3483118, 3144100, 11321409, 16457556]",asics hyper md 6 scarpe chiodate giallo g502y 0743 articoli sportivi e abbigliamento sportivo,asics,,1
34,"[483915, 165023, 60517466, 5262520, 3341498, 4093664, 448969, 1990127, 8864]",air zoom pegasus 33 nike noir partir de 88 00 mod le homme,nike,,"[483915, 165023, 60517466, 5262520, 3341498, 4093664, 448969, 1990127, 8864]",nike air zoom pegasus 33 czarny bia y antracyt zimnoszary,,,1
35,"[5262520, 3341498, 90007, 483915, 165023, 60517466, 1990127, 7034804, 448969]",pantalones impermeables nike foundation 12 negro blanco ropa para entrenamiento 447433 010,,,"[5262520, 3341498, 90007, 483915, 165023, 60517466, 1990127, 7034804, 448969]",pantaloni impermeabili nike foundation 12 nero bianco abbigliamento allenamento 447433 010,,,1
36,"[23444, 59977145, 16202837, 16201043, 3221140, 3531519, 7994726, 7994725, 275326]",buty m skie nike air force 1 mid 07 all white 366731 100 jordan adidas,,,"[23444, 59977145, 16202837, 16201043, 3221140, 3531519, 7994726, 7994725, 275326]",sneakers buty nike wmns air force 1 07 mid le white 366731 100 bludshop com,,,1
37,"[483915, 165023, 60517466, 3341498, 1990165, 5262520, 7034804, 90007, 448969]",nike ragazzo sportswear roshe one gs nero argento metallico bianco scarpe,,,"[483915, 165023, 60517466, 3341498, 1990165, 5262520, 7034804, 90007, 448969]",roshe one gs nike 599728 021 everysize com,nike,,1
38,"[688148, 63229977, 7769644, 10501113, 23991687, 6261131, 5333003, 3341498, 483915]",nike free trainer 3 0 v4 nero grigio arancione scarpe uomo,,,"[688148, 63229977, 7769644, 10501113, 23991687, 6261131, 5333003, 3341498, 483915]",nike free trainer 3 0 v4 schwarz grau orange trainingsschuhe herrenschuhe,,,1
39,"[724698, 663601, 55081, 2702745, 240843, 444309, 264048, 16354845, 1028599]",nike air max 90 ultra 2 0 ltr buty obuwie sportowe darmowa dostawa sizeer,,,"[724698, 663601, 55081, 2702745, 240843, 444309, 264048, 16354845, 1028599]",nike air max 90 ultra 2 0 ltr znane marki ubra i but w m skich darmowa dostawa do domu sizeer,,,1
40,"[6517221, 6517201, 54807265, 48741202, 27062798, 13748927, 2358400, 15199106, 950355]",nike tiempo legacy ii fg nero bianco oro metallico scarpe uomo terreni compatti,,,"[6517221, 6517201, 54807265, 48741202, 27062798, 13748927, 2358400, 15199106, 950355]",nike tiempo legacy ii fg noir blanc or chaussures pour homme terrain sec,,,1
41,"[3829295, 4226269, 6510440, 7791767, 743057, 3153175, 1671179, 5271500, 2580219]",puma r698 core leather black drizzle 360601 02 bludshop com,,,"[3829295, 4226269, 6510440, 7791767, 743057, 3153175, 1671179, 5271500, 2580219]",sneakers buty puma r698 core leather black drizzle 360601 02 bludshop com,,,1
42,[327247],asics fuze x azul naranja zapatillas de entrenamiento,,,[327247],asics fuze x blauw oranje heren hardloopschoenen,,,1
43,"[17493275, 2628556, 1069901, 157064, 12257149, 794586, 1134648, 1087121, 754766]",puma evopower 4 3 fg enfant bleu blanc orange chaussures pour terrain sec,,,"[17493275, 2628556, 1069901, 157064, 12257149, 794586, 1134648, 1087121, 754766]",puma kids evopower 4 3 fg blue yonder white shocking orange junior boots firm ground,,,1
44,"[1770624, 1375057, 610296, 365144, 386928, 726663, 11998, 23883725, 40638]",x kylie jenner iconic sunglasses in black silver accessories new arrivals from mother denim misa los angeles frame citizens,,,"[1770624, 1375057, 610296, 365144, 386928, 726663, 11998, 23883725, 40638]",x kylie jenner iconic sunglasses in black silver accessories at singer22 com,,,1
45,"[5418534, 2817092, 285827, 42410, 19758416, 6902815, 16186224, 688148, 63229977]",asics gel kayano trainer evo black dark grey sneakers retro running tempo stores,,,"[5418534, 2817092, 285827, 42410, 19758416, 6902815, 16186224, 688148, 63229977]",asics gel kayano trainer evo h621n 9016 footstop,,,1
46,"[3651374, 3639436, 1405272, 1635046, 335169, 16202837, 16201043, 3177775, 13439688]",nike alpha huarache men s low turf shoes black white cleated,baseball monkey,usd 79 99,"[3651374, 3639436, 1405272, 1635046, 335169, 16202837, 16201043, 3177775, 13439688]",nike alpha huarache men s low turf shoes black white and coach,baseball monkey,usd 79 99,1
47,"[1130577, 30749736, 5187395, 6675972, 3944952, 65798425, 162797, 8864, 5245289]",nike air zoom pegasus 32 men s training shoes total orange ghost green black clearance footwear,baseball monkey,93 98 usd,"[1130577, 30749736, 5187395, 6675972, 3944952, 65798425, 162797, 8864, 5245289]",nike air zoom pegasus 32 men s training shoes total orange ghost green black running and,baseball monkey,93 98 usd,1
48,"[2559629, 28101342, 830324, 10319255, 16316220, 3989263, 21772564, 18128727, 5639494]",asics gel gt 2000 4 lite show men s running shoes aw16 3093 moderate support train ah,asics,,"[2559629, 28101342, 830324, 10319255, 16316220, 3989263, 21772564, 18128727, 5639494]",asics gt 200 4 lite show pg t6f4n 3093 footstop,,,1
49,"[483915, 165023, 60517466, 1990165, 3341498, 5262520, 90007, 448969, 7034804]",nike sportswear air max tavas gs cobalt blanc bleu royal chaussures pour enfant,,,"[483915, 165023, 60517466, 1990165, 3341498, 5262520, 90007, 448969, 7034804]",nike sportswear boys air max tavas hyper cobalt chiaro bianco blu royal scuro scarpe junior,,,1
50,"[22101577, 23673809, 22160010, 20098839, 23819528, 22807606, 4003728, 4080475, 3453198]",nike flex 2016 run azul negro blanco zapatillas para hombre,,,"[22101577, 23673809, 22160010, 20098839, 23819528, 22807606, 4003728, 4080475, 3453198]",nike flex 2016 run bleu noir blanc chaussures pour homme,,,1
51,"[5262520, 483915, 165023, 60517466, 3341498, 7034804, 1990127, 90007, 448969]",nike air zoom pegasus 33 para mujer negro blanco antracita gris zapatillas,,,"[5262520, 483915, 165023, 60517466, 3341498, 7034804, 1990127, 90007, 448969]",nike donna air zoom pegasus 33 nero bianco antracide grigio scarpe,,,1
52,"[483915, 165023, 60517466, 5262520, 3341498, 448969, 90007, 1990127, 7034804]",nike metcon 1 volt blanco negro platino zapatillas para hombre,,,"[483915, 165023, 60517466, 5262520, 3341498, 448969, 90007, 1990127, 7034804]",nike metcon 1 volt white black pure platinum mens shoes,,,1
53,"[311842, 378923, 129333, 2837811, 386117, 6735651, 3177775, 3651374, 56241211]",nike sportswear womens benassi just do it black shoes 343881 011,,,"[311842, 378923, 129333, 2837811, 386117, 6735651, 3177775, 3651374, 56241211]",nike wmns benassi jdi black white 343881 011 bludshop com,,,1
54,"[3341498, 483915, 165023, 60517466, 5262520, 1990165, 7034804, 4093664, 90007]",nike defendre cuir noir anthracite blanc chaussures de football homme,,,"[3341498, 483915, 165023, 60517466, 5262520, 1990165, 7034804, 4093664, 90007]",zapatillas nike defendre piel negro antracita blanco deportivas,,,1
55,"[4660942, 55229798, 28551243, 25250, 56736133, 483915, 165023, 60517466, 3341498]",nike hypervenom phelon ii fg nero volt scarpe uomo terreni compatti,,,"[4660942, 55229798, 28551243, 25250, 56736133, 483915, 165023, 60517466, 3341498]",nike hypervenom phelon ii fg noir volt chaussures pour homme terrain sec,,,1
56,"[6759619, 2998487, 56632652, 11460, 465607, 7759329, 232095, 1539185, 1334948]",highland wax jacket men s parker straight cord trouser in taupe from crew clothing company,crew clothing,,"[6759619, 2998487, 56632652, 11460, 465607, 7759329, 232095, 1539185, 1334948]",highland wax jacket men s spray in dark navy from crew clothing company,crew clothing,,1
57,"[157064, 17493275, 2628556, 12257149, 794586, 1069901, 10251, 358868, 586918]",buty puma evopower 1 2 fg peacoat bia y bright plasma korki pi karskie twarde pod o e trawa lanki 10317101,,,"[157064, 17493275, 2628556, 12257149, 794586, 1069901, 10251, 358868, 586918]",puma evopower 1 2 fg peacoat blanc plasma chaussures de football terrain sec 10317101,,,1
58,"[27074456, 67312906, 55639137, 67312930, 73763739, 56678555, 73763770, 57083523, 66459325]",tennis classic cs,,42 50 eur,"[27074456, 67312906, 55639137, 67312930, 73763739, 56678555, 73763770, 57083523, 66459325]",tennis classic cs nike 683613 104 everysize com,nike,,1
59,"[1990165, 483915, 165023, 60517466, 4093664, 7034804, 3341498, 5262520, 1990127]",nike sportswear air max 90 mid winter czarny obuwie m skie,,,"[1990165, 483915, 165023, 60517466, 4093664, 7034804, 3341498, 5262520, 1990127]",nike sportswear air max 90 mid winter nero scarpe uomo,,,1
60,"[483915, 165023, 60517466, 448969, 1990165, 3341498, 5262520, 3660974, 90007]",nike flex 2016 run rouge noir carmin blanc chaussures pour homme,,,"[483915, 165023, 60517466, 448969, 1990165, 3341498, 5262520, 3660974, 90007]",nike flex 2016 run university red black bright crimson white mens shoes 830369 601,,,1
61,"[2026422, 3291726, 50403792, 7848421, 1930677, 2586504, 785098, 26571, 23762956]",nike ragazza sportswear roshe one gs nero scarpe,,,"[2026422, 3291726, 50403792, 7848421, 1930677, 2586504, 785098, 26571, 23762956]",nike sportswear fille roshe one gs noir chaussures enfant,,,1
62,"[4140943, 2678899, 67091030, 6413943, 2667715, 5578743, 4279276, 59977145, 24514568]",puma king pro sg black white team gold mens boots soft ground,,,"[4140943, 2678899, 67091030, 6413943, 2667715, 5578743, 4279276, 59977145, 24514568]",puma king pro sg blk wht gold rugby boots soft ground black white,,,1
63,"[5949982, 960854, 56736371, 841080, 718936, 9349505, 18170202, 18631608, 1041635]",nike boys team hustle d 7 gs black shoes 747998 007,,,"[5949982, 960854, 56736371, 841080, 718936, 9349505, 18170202, 18631608, 1041635]",nike team hustle d 7 gs 747998 007 footstop,,,1
64,"[6794674, 6795141, 56599233, 18028904, 16422172, 1475581, 18152555, 12326461, 669014]",air max tavas nike 705149 009 everysize com,nike,,"[6794674, 6795141, 56599233, 18028904, 16422172, 1475581, 18152555, 12326461, 669014]",nike sportswear air max tavas black white mens shoes 705149 009,,,1
65,"[48987695, 2529207, 2273067, 3503532, 2020857, 1851017, 970101, 950510, 1988611]",nike junior magista obra ii fg the soccer factory,,,"[48987695, 2529207, 2273067, 3503532, 2020857, 1851017, 970101, 950510, 1988611]",nike magista obra ii fg enfant turquoise rio volt obsidienne jade chaussures de football terrain sec i pro direct soccer,,,1
66,"[407275, 6794674, 669014, 18028904, 16422172, 1475581, 18152555, 12326461, 56599233]",nike sportswear air max 1 gs black vivid pink white girls shoes,,,"[407275, 6794674, 669014, 18028904, 16422172, 1475581, 18152555, 12326461, 56599233]",nike sportswear air max 1 gs fille noir rose blanc chaussures enfant,,,1
67,"[17493275, 2628556, 157064, 1069901, 794586, 12257149, 358868, 586918]",puma evospeed 4 5 fg bia y czarny szokuj cy pomara cz m skie buty pi karskie trawa naturalna lanki,,,"[17493275, 2628556, 157064, 1069901, 794586, 12257149, 358868, 586918]",puma evospeed 4 5 fg white black shocking orange mens soccer cleats firm ground,,,1
68,"[327247, 19939, 4019550, 2990368, 7995468, 56628891, 7801402, 4099134, 2303080]",asics tiger gel lyte mt india ink mens shoes hl6g0 5050,,,"[327247, 19939, 4019550, 2990368, 7995468, 56628891, 7801402, 4099134, 2303080]",gel lyte mt unisex men s sneakers asics tiger,,,1
69,"[870, 2200792, 531856, 8779256, 1163081, 16965832, 956740, 228293, 2400266]",nike free train versatility bianco nero scarpe uomo,,,"[870, 2200792, 531856, 8779256, 1163081, 16965832, 956740, 228293, 2400266]",nike free train versatility blanc noir chaussures pour homme,,,1
70,"[7994726, 7994725, 16202837, 16201043, 24951302, 3177775, 3651374, 56241211, 579455]",nike sportswear womens classic cortez leather white black shoes 807471 101,,,"[7994726, 7994725, 16202837, 16201043, 24951302, 3177775, 3651374, 56241211, 579455]",nike wmns classic cortez leather white black 807471 101 bludshop com,,,1
71,"[483915, 165023, 60517466, 5262520, 7034804, 3341498, 90007, 1990127, 4093664]",nike tiempox mystic v tf negro blanco verde electro zapatillas de futbol,,,"[483915, 165023, 60517466, 5262520, 7034804, 3341498, 90007, 1990127, 4093664]",m skie buty nike tiempox mystic v tf czarny bia y zielony elektro pi karskie turfy,,,1
72,"[5262520, 483915, 165023, 60517466, 3341498, 7034804, 90007, 448969, 1990165]",nike flylon train dynamic negro blanco gris oscuro volt zapatillas de deporte,,,"[5262520, 483915, 165023, 60517466, 3341498, 7034804, 90007, 448969, 1990165]",nike flylon train dynamic nero bianco grigio scuro volt scarpe uomo training regolare,,,1
73,"[847802, 65563112, 4003728, 468697, 3358558, 2576418, 4080475, 3453198, 1508815]",nike femme free run distance hyper violet noir chaussures pour,,,"[847802, 65563112, 4003728, 468697, 3358558, 2576418, 4080475, 3453198, 1508815]",nike free run distance para mujer violeta morado azul zapatillas,,,1
74,"[28551243, 25250, 42906243, 9198364, 15199106, 50682532, 950355, 3276915, 6517221]",nike tiempo legacy fg anthracite black volt mens boots firm ground,,,"[28551243, 25250, 42906243, 9198364, 15199106, 50682532, 950355, 3276915, 6517221]",nike tiempo legacy fg antracide nero volt scarpe uomo terreni compatti,,,1
75,"[483915, 165023, 60517466, 7034804, 3341498, 2334185, 2334180, 2334179, 1990165]",buty nike the premier sg czarny bia y pi karskie mi kkie pod o e mokra trawa wkr ty tepy 698596 018,,,"[483915, 165023, 60517466, 7034804, 3341498, 2334185, 2334180, 2334179, 1990165]",nike the premier sg fu ballschuhe stollen farbe schwarz 698596 018 der online shop f r deine sportbekleidung,nike,,1
76,"[532200, 3276915, 15634798, 3331738, 844607, 42906243, 19369314, 50682532, 27230377]",nike tiempo mystic v fg noir blanc hyper orange volt chaussures de football pour homme terrain sec i pro direct soccer,,,"[532200, 3276915, 15634798, 3331738, 844607, 42906243, 19369314, 50682532, 27230377]",nike tiempo mystic v fg zwart wit hyper oranje volt heren voetbalschoenen ferme grond,,,1
77,"[56599233, 6794674, 669014, 6794726, 18028904, 16422172, 1475581, 18152555, 12326461]",nike air max 90 essential black wolf grey white 537384 053 purchaze,nike,,"[56599233, 6794674, 669014, 6794726, 18028904, 16422172, 1475581, 18152555, 12326461]",nike sportswear air max 90 essential black mens shoes wolf grey anthracite 537384 053,,,1
78,"[22132443, 32859429, 796293, 483915, 165023, 60517466, 5262520, 3341498, 448969]",chanclas nike sportswear benassi just do it azul blanco para la ducha,,,"[22132443, 32859429, 796293, 483915, 165023, 60517466, 5262520, 3341498, 448969]",nike sportswear jdi benassi midnight navy chaussures homme 343880 403,,,1
79,"[29566195, 647054, 129068, 6276983, 38974123, 20687433, 6276389, 810, 313802]",air jordan 5 retro lust m xico webstore,,,"[29566195, 647054, 129068, 6276983, 38974123, 20687433, 6276389, 810, 313802]",jordan men s air 5 retro dark stucco camo fire red,,,1
80,"[3429456, 588352, 223359, 52063378, 17029422, 10714782, 59826388, 66741247, 59826223]",dzieci ce buty nike tiempo rio iii fg szary czarny zielony pi karskie trawa naturalna lanki,,,"[3429456, 588352, 223359, 52063378, 17029422, 10714782, 59826388, 66741247, 59826223]",nike enfant tiempo rio iii fg gris loup noir jade chaussures pour terrain sec,,,1
81,"[5262520, 483915, 165023, 60517466, 3341498, 7034804, 1990165, 90007, 1990127]",nike train speed 4 negro azul blanco zapatillas de deporte,,,"[5262520, 483915, 165023, 60517466, 3341498, 7034804, 1990165, 90007, 1990127]",train speed 4 nike 843937 002 everysize com,nike,,1
82,"[5089308, 64653347, 52303067, 52302954, 52303000, 52302985, 52303131, 52303081, 52303013]",air max 2016 nike 806771 001 everysize com,nike,,"[5089308, 64653347, 52303067, 52302954, 52303000, 52302985, 52303131, 52303081, 52303013]",nike air max 2016 806771 001 para hombre negro 040 footstop,,,1
83,"[471214, 3829295, 4226269, 7791767, 1142900, 5271500, 6510440, 2580219, 1671179]",nike wmns air max 90 leather rosa rose creme 921304 600 purchaze,nike,,"[471214, 3829295, 4226269, 7791767, 1142900, 5271500, 6510440, 2580219, 1671179]",nike wmns air max 90 leather silt red stardust 921304 600 purchaze,nike,,1
84,"[483915, 165023, 60517466, 4093664, 1990165, 7034804, 3341498, 90007, 5262520]",nike air max 90 essential czarny 579 99 pln sneakersy 537384090,nike,,"[483915, 165023, 60517466, 4093664, 1990165, 7034804, 3341498, 90007, 5262520]",zapatillas nike sportswear air max 90 piel negro deportivas,,,1
85,"[11663499, 11663449, 1192761, 11609848, 182126, 11525787, 11357927, 11375412, 11393413]",nike free run distance herren freizeit schuhe farbe hellblau 827115 401 der online shop f r deine sportbekleidung,nike,,"[11663499, 11663449, 1192761, 11609848, 182126, 11525787, 11357927, 11375412, 11393413]",nike free run distance man time shoes colour light blue 827115 401 athletic footwear apparel and sports equipment,nike,,1
86,"[10264518, 2020857, 613088, 739125, 28678483, 1991104, 1441569, 1778959, 24326087]",joma n 10 pro fg blanco negro botas de futbol terrenos firmes,,,"[10264518, 2020857, 613088, 739125, 28678483, 1991104, 1441569, 1778959, 24326087]",joma n 10 pro fg wit zwart heren voetbalschoenen ferme grond,,,1
87,"[17493275, 2628556, 157064, 794586, 12257149, 1069901, 358868, 586918]",puma evospeed 1 5 fg nero bianco rosso scarpe uomo terreni compatti,,,"[17493275, 2628556, 157064, 794586, 12257149, 1069901, 358868, 586918]",puma evospeed 1 5 fg noir blanc rouge chaussures pour homme terrain sec,,,1
88,"[17493275, 2628556, 157064, 794586, 1069901, 12257149, 358868, 586918]",puma evospeed sl fg eclipse total lava blanco botas de futbol,,,"[17493275, 2628556, 157064, 794586, 1069901, 12257149, 358868, 586918]",puma evospeed sl fg eclisse totale lava blast bianco scarpe uomo terreni compatti,,,1
